Wavelength,Real,Imaginary
1.000000000000E-08,9.684160000000E-01,1.745000000000E-03
1.099000000000E-08,9.647780000000E-01,2.370000000000E-03
1.199000000000E-08,9.609530000000E-01,3.146000000000E-03
1.300000000000E-08,9.569540000000E-01,4.072000000000E-03
1.400000000000E-08,9.527920000000E-01,5.174000000000E-03
1.600000000000E-08,9.441240000000E-01,7.958000000000E-03
1.799000000000E-08,9.347440000000E-01,1.164000000000E-02
2.000000000000E-08,9.245830000000E-01,1.636000000000E-02
2.198000000000E-08,9.139730000000E-01,2.227000000000E-02
2.399000000000E-08,9.026940000000E-01,2.950000000000E-02
2.600000000000E-08,8.908370000000E-01,3.818000000000E-02
2.799000000000E-08,8.787660000000E-01,4.851000000000E-02
2.999000000000E-08,8.664930000000E-01,6.064000000000E-02
3.199000000000E-08,8.541410000000E-01,7.461000000000E-02
3.396000000000E-08,8.421710000000E-01,9.074000000000E-02
3.597000000000E-08,8.307200000000E-01,1.093000000000E-01
3.802000000000E-08,8.197530000000E-01,1.303000000000E-01
3.999000000000E-08,8.099970000000E-01,1.534000000000E-01
4.198000000000E-08,8.022910000000E-01,1.798000000000E-01
4.395000000000E-08,7.977370000000E-01,2.088000000000E-01
4.603000000000E-08,7.970070000000E-01,2.414000000000E-01
4.797000000000E-08,8.055790000000E-01,2.766000000000E-01
5.000000000000E-08,8.207420000000E-01,2.998000000000E-01
5.200000000000E-08,8.309570000000E-01,3.153000000000E-01
5.395000000000E-08,8.352400000000E-01,3.310000000000E-01
5.598000000000E-08,8.352950000000E-01,3.498000000000E-01
5.794000000000E-08,8.316280000000E-01,3.739000000000E-01
5.998000000000E-08,8.309010000000E-01,4.119000000000E-01
6.194000000000E-08,8.405750000000E-01,4.558000000000E-01
6.397000000000E-08,8.669940000000E-01,5.033000000000E-01
6.607000000000E-08,9.035270000000E-01,5.355000000000E-01
6.808000000000E-08,9.418010000000E-01,5.634000000000E-01
6.998000000000E-08,9.816920000000E-01,5.791000000000E-01
7.194000000000E-08,1.020921000000E+00,5.859000000000E-01
7.396000000000E-08,1.049744000000E+00,5.805000000000E-01
7.603000000000E-08,1.068724000000E+00,5.859000000000E-01
7.798000000000E-08,1.087685000000E+00,5.981000000000E-01
7.998000000000E-08,1.111682000000E+00,6.135000000000E-01
8.204000000000E-08,1.140628000000E+00,6.292000000000E-01
8.395000000000E-08,1.173382000000E+00,6.453000000000E-01
8.590000000000E-08,1.214969000000E+00,6.573000000000E-01
8.790000000000E-08,1.259495000000E+00,6.573000000000E-01
8.995000000000E-08,1.302663000000E+00,6.528000000000E-01
9.204000000000E-08,1.346760000000E+00,6.439000000000E-01
9.397000000000E-08,1.387639000000E+00,6.292000000000E-01
9.594000000000E-08,1.425425000000E+00,6.050000000000E-01
9.795000000000E-08,1.455868000000E+00,5.752000000000E-01
1.000000000000E-07,1.476628000000E+00,5.430000000000E-01
1.021000000000E-07,1.493473000000E+00,5.185000000000E-01
1.040000000000E-07,1.506677000000E+00,4.929000000000E-01
1.059000000000E-07,1.516305000000E+00,4.707000000000E-01
1.079000000000E-07,1.523589000000E+00,4.485000000000E-01
1.099000000000E-07,1.528933000000E+00,4.303000000000E-01
1.119000000000E-07,1.535363000000E+00,4.148000000000E-01
1.140000000000E-07,1.543211000000E+00,3.988000000000E-01
1.159000000000E-07,1.548070000000E+00,3.826000000000E-01
1.180000000000E-07,1.553435000000E+00,3.705000000000E-01
1.199000000000E-07,1.560870000000E+00,3.596000000000E-01
1.219000000000E-07,1.570304000000E+00,3.490000000000E-01
1.239000000000E-07,1.584638000000E+00,3.387000000000E-01
1.259000000000E-07,1.606068000000E+00,3.220000000000E-01
1.279000000000E-07,1.626822000000E+00,2.876000000000E-01
1.300000000000E-07,1.633849000000E+00,2.392000000000E-01
1.321000000000E-07,1.619420000000E+00,1.870000000000E-01
1.340000000000E-07,1.586268000000E+00,1.489000000000E-01
1.361000000000E-07,1.536403000000E+00,1.333000000000E-01
1.380000000000E-07,1.496271000000E+00,1.422000000000E-01
1.400000000000E-07,1.471129000000E+00,1.678000000000E-01
1.419000000000E-07,1.461485000000E+00,1.927000000000E-01
1.439000000000E-07,1.460977000000E+00,2.167000000000E-01
1.459000000000E-07,1.469275000000E+00,2.409000000000E-01
1.479000000000E-07,1.489551000000E+00,2.641000000000E-01
1.500000000000E-07,1.521276000000E+00,2.772000000000E-01
1.521000000000E-07,1.559942000000E+00,2.772000000000E-01
1.542000000000E-07,1.596861000000E+00,2.581000000000E-01
1.560000000000E-07,1.620422000000E+00,2.338000000000E-01
1.581000000000E-07,1.641473000000E+00,2.022000000000E-01
1.600000000000E-07,1.650184000000E+00,1.670000000000E-01
1.622000000000E-07,1.652917000000E+00,1.351000000000E-01
1.641000000000E-07,1.653100000000E+00,1.039000000000E-01
1.660000000000E-07,1.647245000000E+00,7.241000000000E-02
1.679000000000E-07,1.635062000000E+00,3.998000000000E-02
1.698000000000E-07,1.605555000000E+00,3.998000000000E-03
1.722000000000E-07,1.568183000000E+00,2.004000000000E-03
1.742000000000E-07,1.549412000000E+00,1.182000000000E-03
1.750000000000E-07,1.543062000000E+00,8.391000000000E-04
1.799000000000E-07,1.513343000000E+00,5.995000000000E-05
1.849000000000E-07,1.491881000000E+00,1.250000000000E-06
1.901000000000E-07,1.475183000000E+00,3.622000000000E-07
1.950000000000E-07,1.462543000000E+00,1.850000000000E-07
2.000000000000E-07,1.451724000000E+00,1.101000000000E-07
2.051000000000E-07,1.442296000000E+00,6.711000000000E-08
2.099000000000E-07,1.434685000000E+00,3.844000000000E-08
2.148000000000E-07,1.427828000000E+00,1.999000000000E-08
2.198000000000E-07,1.421603000000E+00,1.270000000000E-08
2.249000000000E-07,1.415921000000E+00,1.158000000000E-08
2.301000000000E-07,1.410702000000E+00,1.101000000000E-08
2.350000000000E-07,1.406358000000E+00,1.071000000000E-08
2.399000000000E-07,1.402321000000E+00,1.049000000000E-08
2.449000000000E-07,1.398535000000E+00,9.904000000000E-09
2.500000000000E-07,1.394993000000E+00,9.307000000000E-09
2.553000000000E-07,1.391674000000E+00,8.606000000000E-09
2.600000000000E-07,1.388881000000E+00,7.994000000000E-09
2.649000000000E-07,1.386239000000E+00,7.444000000000E-09
2.698000000000E-07,1.383726000000E+00,6.852000000000E-09
2.748000000000E-07,1.381341000000E+00,6.292000000000E-09
2.799000000000E-07,1.379072000000E+00,5.791000000000E-09
2.851000000000E-07,1.376902000000E+00,5.405000000000E-09
2.897000000000E-07,1.375086000000E+00,4.795000000000E-09
2.951000000000E-07,1.373098000000E+00,4.403000000000E-09
2.999000000000E-07,1.371437000000E+00,4.148000000000E-09
3.048000000000E-07,1.369839000000E+00,3.826000000000E-09
3.097000000000E-07,1.368287000000E+00,3.546000000000E-09
3.148000000000E-07,1.366812000000E+00,3.325000000000E-09
3.199000000000E-07,1.365376000000E+00,3.190000000000E-09
3.251000000000E-07,1.363990000000E+00,3.082000000000E-09
3.304000000000E-07,1.362616000000E+00,2.984000000000E-09
3.350000000000E-07,1.361513000000E+00,2.883000000000E-09
3.396000000000E-07,1.360441000000E+00,2.766000000000E-09
3.451000000000E-07,1.359231000000E+00,2.653000000000E-09
3.499000000000E-07,1.358224000000E+00,2.528000000000E-09
3.548000000000E-07,1.357247000000E+00,2.420000000000E-09
3.597000000000E-07,1.356295000000E+00,2.316000000000E-09
3.648000000000E-07,1.355370000000E+00,2.217000000000E-09
3.698000000000E-07,1.354470000000E+00,2.117000000000E-09
3.750000000000E-07,1.353594000000E+00,2.031000000000E-09
3.802000000000E-07,1.352740000000E+00,1.940000000000E-09
3.846000000000E-07,1.352046000000E+00,1.840000000000E-09
3.899000000000E-07,1.351231000000E+00,1.761000000000E-09
3.954000000000E-07,1.350438000000E+00,1.663000000000E-09
3.999000000000E-07,1.349793000000E+00,1.580000000000E-09
4.046000000000E-07,1.349159000000E+00,1.489000000000E-09
4.102000000000E-07,1.348417000000E+00,1.422000000000E-09
4.150000000000E-07,1.347811000000E+00,1.339000000000E-09
4.198000000000E-07,1.347219000000E+00,1.258000000000E-09
4.246000000000E-07,1.346636000000E+00,1.169000000000E-09
4.295000000000E-07,1.346066000000E+00,1.088000000000E-09
4.345000000000E-07,1.345505000000E+00,1.018000000000E-09
4.395000000000E-07,1.344956000000E+00,9.393000000000E-10
4.446000000000E-07,1.344418000000E+00,8.685000000000E-10
4.498000000000E-07,1.343889000000E+00,8.087000000000E-10
4.550000000000E-07,1.343368000000E+00,7.795000000000E-10
4.603000000000E-07,1.342858000000E+00,7.600000000000E-10
4.645000000000E-07,1.342455000000E+00,7.495000000000E-10
4.699000000000E-07,1.341961000000E+00,7.291000000000E-10
4.753000000000E-07,1.341475000000E+00,7.011000000000E-10
4.797000000000E-07,1.341093000000E+00,7.092000000000E-10
4.853000000000E-07,1.340620000000E+00,7.158000000000E-10
4.898000000000E-07,1.340248000000E+00,7.342000000000E-10
4.955000000000E-07,1.339791000000E+00,7.849000000000E-10
5.000000000000E-07,1.339430000000E+00,9.243000000000E-10
5.047000000000E-07,1.339073000000E+00,1.078000000000E-09
5.105000000000E-07,1.338635000000E+00,1.267000000000E-09
5.152000000000E-07,1.338288000000E+00,1.461000000000E-09
5.200000000000E-07,1.337944000000E+00,1.570000000000E-09
5.248000000000E-07,1.337607000000E+00,1.640000000000E-09
5.297000000000E-07,1.337273000000E+00,1.757000000000E-09
5.346000000000E-07,1.336943000000E+00,1.887000000000E-09
5.395000000000E-07,1.336615000000E+00,2.098000000000E-09
5.445000000000E-07,1.336292000000E+00,2.269000000000E-09
5.495000000000E-07,1.335972000000E+00,2.442000000000E-09
5.546000000000E-07,1.335656000000E+00,2.659000000000E-09
5.598000000000E-07,1.335344000000E+00,2.869000000000E-09
5.649000000000E-07,1.335035000000E+00,3.132000000000E-09
5.702000000000E-07,1.334729000000E+00,3.434000000000E-09
5.754000000000E-07,1.334425000000E+00,3.844000000000E-09
5.794000000000E-07,1.334200000000E+00,4.434000000000E-09
5.848000000000E-07,1.333902000000E+00,5.221000000000E-09
5.902000000000E-07,1.333609000000E+00,6.365000000000E-09
5.957000000000E-07,1.333316000000E+00,7.723000000000E-09
5.998000000000E-07,1.333100000000E+00,9.634000000000E-09
6.053000000000E-07,1.332813000000E+00,1.132000000000E-08
6.095000000000E-07,1.332598000000E+00,1.238000000000E-08
6.152000000000E-07,1.332317000000E+00,1.330000000000E-08
6.194000000000E-07,1.332106000000E+00,1.399000000000E-08
6.252000000000E-07,1.331826000000E+00,1.472000000000E-08
6.295000000000E-07,1.331619000000E+00,1.502000000000E-08
6.353000000000E-07,1.331345000000E+00,1.552000000000E-08
6.397000000000E-07,1.331144000000E+00,1.570000000000E-08
6.457000000000E-07,1.330877000000E+00,1.606000000000E-08
6.501000000000E-07,1.330683000000E+00,1.674000000000E-08
6.546000000000E-07,1.330490000000E+00,1.777000000000E-08
6.607000000000E-07,1.330238000000E+00,1.940000000000E-08
6.653000000000E-07,1.330052000000E+00,2.031000000000E-08
6.699000000000E-07,1.329869000000E+00,2.098000000000E-08
6.745000000000E-07,1.329690000000E+00,2.177000000000E-08
6.808000000000E-07,1.329452000000E+00,2.300000000000E-08
6.855000000000E-07,1.329278000000E+00,2.471000000000E-08
6.902000000000E-07,1.329106000000E+00,2.653000000000E-08
6.950000000000E-07,1.328938000000E+00,2.963000000000E-08
6.998000000000E-07,1.328769000000E+00,3.348000000000E-08
7.047000000000E-07,1.328603000000E+00,4.100000000000E-08
7.096000000000E-07,1.328440000000E+00,4.998000000000E-08
7.145000000000E-07,1.328279000000E+00,5.995000000000E-08
7.194000000000E-07,1.328120000000E+00,7.291000000000E-08
7.244000000000E-07,1.327963000000E+00,9.137000000000E-08
7.295000000000E-07,1.327808000000E+00,1.150000000000E-07
7.345000000000E-07,1.327652000000E+00,1.348000000000E-07
7.396000000000E-07,1.327502000000E+00,1.458000000000E-07
7.447000000000E-07,1.327350000000E+00,1.530000000000E-07
7.499000000000E-07,1.327201000000E+00,1.559000000000E-07
7.551000000000E-07,1.327055000000E+00,1.580000000000E-07
7.603000000000E-07,1.326909000000E+00,1.580000000000E-07
7.656000000000E-07,1.326764000000E+00,1.570000000000E-07
7.691000000000E-07,1.326667000000E+00,1.527000000000E-07
7.745000000000E-07,1.326524000000E+00,1.478000000000E-07
7.798000000000E-07,1.326382000000E+00,1.409000000000E-07
7.852000000000E-07,1.326244000000E+00,1.339000000000E-07
7.907000000000E-07,1.326104000000E+00,1.282000000000E-07
7.943000000000E-07,1.326012000000E+00,1.258000000000E-07
7.998000000000E-07,1.325874000000E+00,1.250000000000E-07
8.054000000000E-07,1.325739000000E+00,1.270000000000E-07
8.091000000000E-07,1.325648000000E+00,1.330000000000E-07
8.147000000000E-07,1.325512000000E+00,1.448000000000E-07
8.204000000000E-07,1.325379000000E+00,1.621000000000E-07
8.241000000000E-07,1.325290000000E+00,1.819000000000E-07
8.299000000000E-07,1.325157000000E+00,2.041000000000E-07
8.356000000000E-07,1.325025000000E+00,2.243000000000E-07
8.395000000000E-07,1.324937000000E+00,2.459000000000E-07
8.453000000000E-07,1.324805000000E+00,2.690000000000E-07
8.492000000000E-07,1.324718000000E+00,2.929000000000E-07
8.551000000000E-07,1.324590000000E+00,3.153000000000E-07
8.590000000000E-07,1.324502000000E+00,3.348000000000E-07
8.650000000000E-07,1.324373000000E+00,3.546000000000E-07
8.710000000000E-07,1.324244000000E+00,3.748000000000E-07
8.750000000000E-07,1.324159000000E+00,3.907000000000E-07
8.790000000000E-07,1.324074000000E+00,4.053000000000E-07
8.851000000000E-07,1.323946000000E+00,4.234000000000E-07
8.892000000000E-07,1.323859000000E+00,4.403000000000E-07
8.954000000000E-07,1.323732000000E+00,4.622000000000E-07
8.995000000000E-07,1.323648000000E+00,4.862000000000E-07
9.057000000000E-07,1.323520000000E+00,5.150000000000E-07
9.099000000000E-07,1.323434000000E+00,5.699000000000E-07
9.141000000000E-07,1.323351000000E+00,6.696000000000E-07
9.204000000000E-07,1.323222000000E+00,8.304000000000E-07
9.247000000000E-07,1.323138000000E+00,1.060000000000E-06
9.290000000000E-07,1.323054000000E+00,1.368000000000E-06
9.354000000000E-07,1.322926000000E+00,1.771000000000E-06
9.397000000000E-07,1.322842000000E+00,2.169000000000E-06
9.441000000000E-07,1.322757000000E+00,2.557000000000E-06
9.506000000000E-07,1.322630000000E+00,2.932000000000E-06
9.550000000000E-07,1.322546000000E+00,3.190000000000E-06
9.594000000000E-07,1.322462000000E+00,3.358000000000E-06
9.661000000000E-07,1.322333000000E+00,3.464000000000E-06
9.705000000000E-07,1.322249000000E+00,3.502000000000E-06
9.750000000000E-07,1.322165000000E+00,3.480000000000E-06
9.795000000000E-07,1.322080000000E+00,3.418000000000E-06
9.840000000000E-07,1.321994000000E+00,3.336000000000E-06
9.908000000000E-07,1.321866000000E+00,3.253000000000E-06
9.954000000000E-07,1.321780000000E+00,3.131000000000E-06
1.000000000000E-06,1.321695000000E+00,3.000000000000E-06
1.009000000000E-06,1.321521000000E+00,2.688000000000E-06
1.021000000000E-06,1.321303000000E+00,2.352000000000E-06
1.030000000000E-06,1.321128000000E+00,2.001000000000E-06
1.040000000000E-06,1.320952000000E+00,1.690000000000E-06
1.050000000000E-06,1.320775000000E+00,1.419000000000E-06
1.059000000000E-06,1.320596000000E+00,1.299000000000E-06
1.069000000000E-06,1.320416000000E+00,1.259000000000E-06
1.079000000000E-06,1.320233000000E+00,1.329000000000E-06
1.089000000000E-06,1.320051000000E+00,1.499000000000E-06
1.099000000000E-06,1.319865000000E+00,1.708000000000E-06
1.109000000000E-06,1.319678000000E+00,2.038000000000E-06
1.119000000000E-06,1.319488000000E+00,2.628000000000E-06
1.130000000000E-06,1.319296000000E+00,3.869000000000E-06
1.140000000000E-06,1.319103000000E+00,5.951000000000E-06
1.151000000000E-06,1.318909000000E+00,9.306000000000E-06
1.159000000000E-06,1.318763000000E+00,1.069000000000E-05
1.169000000000E-06,1.318566000000E+00,1.120000000000E-05
1.180000000000E-06,1.318366000000E+00,1.160000000000E-05
1.191000000000E-06,1.318162000000E+00,1.181000000000E-05
1.199000000000E-06,1.318008000000E+00,1.199000000000E-05
1.211000000000E-06,1.317799000000E+00,1.191000000000E-05
1.219000000000E-06,1.317641000000E+00,1.179000000000E-05
1.230000000000E-06,1.317427000000E+00,1.160000000000E-05
1.239000000000E-06,1.317263000000E+00,1.139000000000E-05
1.250000000000E-06,1.317042000000E+00,1.100000000000E-05
1.259000000000E-06,1.316873000000E+00,1.079000000000E-05
1.271000000000E-06,1.316645000000E+00,1.090000000000E-05
1.279000000000E-06,1.316470000000E+00,1.139000000000E-05
1.291000000000E-06,1.316233000000E+00,1.221000000000E-05
1.300000000000E-06,1.316052000000E+00,1.400000000000E-05
1.309000000000E-06,1.315868000000E+00,1.639000000000E-05
1.321000000000E-06,1.315618000000E+00,1.912000000000E-05
1.330000000000E-06,1.315425000000E+00,2.251000000000E-05
1.340000000000E-06,1.315228000000E+00,2.849000000000E-05
1.349000000000E-06,1.315031000000E+00,4.047000000000E-05
1.361000000000E-06,1.314760000000E+00,4.505000000000E-05
1.371000000000E-06,1.314547000000E+00,5.804000000000E-05
1.380000000000E-06,1.314329000000E+00,7.802000000000E-05
1.390000000000E-06,1.314104000000E+00,1.060000000000E-04
1.400000000000E-06,1.313871000000E+00,1.530000000000E-04
1.409000000000E-06,1.313671000000E+00,2.540000000000E-04
1.419000000000E-06,1.313518000000E+00,3.197000000000E-04
1.429000000000E-06,1.313373000000E+00,3.538000000000E-04
1.439000000000E-06,1.313220000000E+00,3.629000000000E-04
1.449000000000E-06,1.313055000000E+00,3.637000000000E-04
1.459000000000E-06,1.312888000000E+00,3.604000000000E-04
1.469000000000E-06,1.312715000000E+00,3.387000000000E-04
1.479000000000E-06,1.312525000000E+00,3.018000000000E-04
1.489000000000E-06,1.312318000000E+00,2.659000000000E-04
1.500000000000E-06,1.312093000000E+00,2.248000000000E-04
1.510000000000E-06,1.311852000000E+00,1.958000000000E-04
1.521000000000E-06,1.311604000000E+00,1.741000000000E-04
1.531000000000E-06,1.311352000000E+00,1.602000000000E-04
1.542000000000E-06,1.311097000000E+00,1.441000000000E-04
1.549000000000E-06,1.310923000000E+00,1.348000000000E-04
1.560000000000E-06,1.310659000000E+00,1.240000000000E-04
1.570000000000E-06,1.310387000000E+00,1.140000000000E-04
1.581000000000E-06,1.310114000000E+00,1.071000000000E-04
1.589000000000E-06,1.309928000000E+00,9.940000000000E-05
1.600000000000E-06,1.309642000000E+00,9.347000000000E-05
1.611000000000E-06,1.309352000000E+00,8.804000000000E-05
1.622000000000E-06,1.309055000000E+00,8.310000000000E-05
1.629000000000E-06,1.308855000000E+00,8.096000000000E-05
1.641000000000E-06,1.308548000000E+00,7.903000000000E-05
1.648000000000E-06,1.308341000000E+00,7.591000000000E-05
1.660000000000E-06,1.308021000000E+00,7.398000000000E-05
1.671000000000E-06,1.307672000000E+00,7.404000000000E-05
1.679000000000E-06,1.307435000000E+00,7.495000000000E-05
1.690000000000E-06,1.307073000000E+00,7.601000000000E-05
1.698000000000E-06,1.306829000000E+00,7.743000000000E-05
1.710000000000E-06,1.306453000000E+00,8.050000000000E-05
1.722000000000E-06,1.306070000000E+00,8.410000000000E-05
1.730000000000E-06,1.305809000000E+00,8.900000000000E-05
1.742000000000E-06,1.305413000000E+00,9.510000000000E-05
1.750000000000E-06,1.305142000000E+00,1.000000000000E-04
1.762000000000E-06,1.304727000000E+00,1.051000000000E-04
1.770000000000E-06,1.304442000000E+00,1.120000000000E-04
1.778000000000E-06,1.304155000000E+00,1.219000000000E-04
1.791000000000E-06,1.303718000000E+00,1.330000000000E-04
1.799000000000E-06,1.303418000000E+00,1.359000000000E-04
1.811000000000E-06,1.302947000000E+00,1.371000000000E-04
1.820000000000E-06,1.302616000000E+00,1.380000000000E-04
1.828000000000E-06,1.302269000000E+00,1.418000000000E-04
1.841000000000E-06,1.301709000000E+00,1.552000000000E-04
1.849000000000E-06,1.301291000000E+00,1.861000000000E-04
1.862000000000E-06,1.300633000000E+00,3.205000000000E-04
1.871000000000E-06,1.300214000000E+00,5.209000000000E-04
1.879000000000E-06,1.299860000000E+00,7.224000000000E-04
1.888000000000E-06,1.299545000000E+00,9.221000000000E-04
1.901000000000E-06,1.298998000000E+00,1.161000000000E-03
1.910000000000E-06,1.298791000000E+00,1.678000000000E-03
1.919000000000E-06,1.298793000000E+00,1.827000000000E-03
1.932000000000E-06,1.298681000000E+00,1.922000000000E-03
1.941000000000E-06,1.298590000000E+00,1.909000000000E-03
1.950000000000E-06,1.298472000000E+00,1.848000000000E-03
1.959000000000E-06,1.298308000000E+00,1.717000000000E-03
1.968000000000E-06,1.298051000000E+00,1.548000000000E-03
1.982000000000E-06,1.297607000000E+00,1.402000000000E-03
1.991000000000E-06,1.297292000000E+00,1.250000000000E-03
2.000000000000E-06,1.296913000000E+00,1.101000000000E-03
2.009000000000E-06,1.296499000000E+00,9.904000000000E-04
2.018000000000E-06,1.296066000000E+00,8.888000000000E-04
2.028000000000E-06,1.295606000000E+00,8.050000000000E-04
2.042000000000E-06,1.294919000000E+00,7.392000000000E-04
2.051000000000E-06,1.294457000000E+00,6.742000000000E-04
2.061000000000E-06,1.293973000000E+00,6.206000000000E-04
2.070000000000E-06,1.293476000000E+00,5.725000000000E-04
2.080000000000E-06,1.292966000000E+00,5.294000000000E-04
2.089000000000E-06,1.292438000000E+00,4.884000000000E-04
2.099000000000E-06,1.291899000000E+00,4.643000000000E-04
2.109000000000E-06,1.291353000000E+00,4.403000000000E-04
2.118000000000E-06,1.290795000000E+00,4.176000000000E-04
2.128000000000E-06,1.290221000000E+00,3.970000000000E-04
2.138000000000E-06,1.289634000000E+00,3.826000000000E-04
2.148000000000E-06,1.289033000000E+00,3.705000000000E-04
2.158000000000E-06,1.288418000000E+00,3.587000000000E-04
2.168000000000E-06,1.287787000000E+00,3.506000000000E-04
2.178000000000E-06,1.287139000000E+00,3.434000000000E-04
2.188000000000E-06,1.286474000000E+00,3.395000000000E-04
2.198000000000E-06,1.285790000000E+00,3.379000000000E-04
2.208000000000E-06,1.285087000000E+00,3.387000000000E-04
2.218000000000E-06,1.284365000000E+00,3.410000000000E-04
2.228000000000E-06,1.283619000000E+00,3.458000000000E-04
2.239000000000E-06,1.282852000000E+00,3.571000000000E-04
2.249000000000E-06,1.282064000000E+00,3.739000000000E-04
2.259000000000E-06,1.281256000000E+00,3.898000000000E-04
2.270000000000E-06,1.280421000000E+00,4.081000000000E-04
2.280000000000E-06,1.279561000000E+00,4.293000000000E-04
2.291000000000E-06,1.278675000000E+00,4.506000000000E-04
2.301000000000E-06,1.277755000000E+00,4.686000000000E-04
2.312000000000E-06,1.276797000000E+00,4.918000000000E-04
2.317000000000E-06,1.276305000000E+00,5.114000000000E-04
2.328000000000E-06,1.275295000000E+00,5.430000000000E-04
2.339000000000E-06,1.274257000000E+00,5.995000000000E-04
2.350000000000E-06,1.273184000000E+00,6.365000000000E-04
2.360000000000E-06,1.272062000000E+00,6.852000000000E-04
2.371000000000E-06,1.270902000000E+00,7.427000000000E-04
2.382000000000E-06,1.269682000000E+00,7.921000000000E-04
2.388000000000E-06,1.269059000000E+00,8.488000000000E-04
2.399000000000E-06,1.267787000000E+00,9.095000000000E-04
2.410000000000E-06,1.266450000000E+00,9.904000000000E-04
2.421000000000E-06,1.265059000000E+00,1.071000000000E-03
2.432000000000E-06,1.263577000000E+00,1.150000000000E-03
2.438000000000E-06,1.262824000000E+00,1.250000000000E-03
2.449000000000E-06,1.261297000000E+00,1.348000000000E-03
2.460000000000E-06,1.259683000000E+00,1.472000000000E-03
2.472000000000E-06,1.257969000000E+00,1.580000000000E-03
2.477000000000E-06,1.257102000000E+00,1.709000000000E-03
2.489000000000E-06,1.255347000000E+00,1.810000000000E-03
2.500000000000E-06,1.253465000000E+00,1.900000000000E-03
2.512000000000E-06,1.251445000000E+00,1.953000000000E-03
2.518000000000E-06,1.250383000000E+00,1.990000000000E-03
2.529000000000E-06,1.248127000000E+00,2.017000000000E-03
2.541000000000E-06,1.245672000000E+00,2.069000000000E-03
2.553000000000E-06,1.243014000000E+00,2.142000000000E-03
2.564000000000E-06,1.240167000000E+00,2.269000000000E-03
2.570000000000E-06,1.238670000000E+00,2.311000000000E-03
2.576000000000E-06,1.237089000000E+00,2.338000000000E-03
2.582000000000E-06,1.235426000000E+00,2.387000000000E-03
2.588000000000E-06,1.233679000000E+00,2.425000000000E-03
2.594000000000E-06,1.231834000000E+00,2.476000000000E-03
2.606000000000E-06,1.227769000000E+00,2.575000000000E-03
2.612000000000E-06,1.225483000000E+00,2.703000000000E-03
2.618000000000E-06,1.223082000000E+00,2.977000000000E-03
2.624000000000E-06,1.220535000000E+00,3.302000000000E-03
2.630000000000E-06,1.218078000000E+00,4.016000000000E-03
2.636000000000E-06,1.215699000000E+00,4.363000000000E-03
2.649000000000E-06,1.209954000000E+00,4.828000000000E-03
2.655000000000E-06,1.206519000000E+00,5.368000000000E-03
